Info_oficinas
En el bloque M1  en el piso 2  número 230  se encuentra el espacio Oficina Profesor - Jorge Martín Molina Escobar en el campus Robledo.
En el bloque M1  en el piso 2  número 232  se encuentra el espacio Oficina Profesor - Francisco Javier Rincalares Arango en el campus Robledo.
En el bloque M1  en el piso 2  número 233  se encuentra el espacio Oficina Profesor - Rafael Álvarez Rodríguez en el campus Robledo.
En el bloque M1  en el piso 2  número 234  se encuentra el espacio Oficina Profesor - Álvaro Jesús Castro Caicedo en el campus Robledo.
En el bloque M1  en el piso 2  número 235  se encuentra el espacio Of. Asistencia Adm/iva. Programa Ingeniería Civil en el campus Robledo.
En el bloque M1  en el piso 3  número 301  se encuentra el espacio Oficina Profesor - Giovanni Franco Sepúlveda en el campus Robledo.
En el bloque M1  en el piso 3  número 302  se encuentra el espacio Laboratorio de Petrografía en el campus Robledo.
En el bloque M1  en el piso 3  número 303  se encuentra el espacio Oficina Profesor - Oswaldo Ordóñez Carmona en el campus Robledo.
En el bloque M1  en el piso 3  número 304  se encuentra el espacio Aula Especial en el campus Robledo.
En el bloque M1  en el piso 3  número 311  se encuentra el espacio Laboratorio de Mineralogía en el campus Robledo.
En el bloque M1  en el piso 3  número 312  se encuentra el espacio Aula - Luis O. Quintero en el campus Robledo.
En el bloque M1  en el piso 3  número 313  se encuentra el espacio Oficina Profesor - Astrid Blandón Botero en el campus Robledo.
En el bloque M1  en el piso 3  número 314  se encuentra el espacio Oficina Profesor - Albeiro de Jesús Rendón Rivera en el campus Robledo.
En el bloque M1  en el piso 3  número 315  se encuentra el espacio Oficina Profesor - César Javier Vinasco Vallejo en el campus Robledo.
En el bloque M1  en el piso 3  número 316  se encuentra el espacio Fotocopiadora en el campus Robledo.
En el bloque M1  en el piso 3  número 317  se encuentra el espacio Oficina Profesor - Alejandro Molina en el campus Robledo.
En el bloque M1  en el piso 3  número 318  se encuentra el espacio Oficina Profesor - Martha De Jesús Henao Vásques en el campus Robledo.
En el bloque M1  en el piso 3  número 319  se encuentra el espacio Oficina Profesor - Ludger Oswaldo Suarez Burgoa en el campus Robledo.
En el bloque M1  en el piso 3  número 320  se encuentra el espacio Oficina Profesor - Jaime Valencia González en el campus Robledo.
En el bloque M1  en el piso 3  número 321  se encuentra el espacio Oficina Profesor - Franco Montoya Callejas en el campus Robledo.
En el bloque M1  en el piso 3  número 323  se encuentra el espacio Sala de Est. de Posg. Maestría en Ing. Química en el campus Robledo.
En el bloque M1  en el piso 4  número 401  se encuentra el espacio Grupo de Investigación en Teleminformática y Automatización (GITA) Dpto. de Ing. Eléctrica en el campus Robledo.
En el bloque M1  en el piso 4  número 402  se encuentra el espacio Grupo de Invest. en Emergencias Aplicadas (GIEA) en el campus Robledo.
En el bloque M1  en el piso 4  número 403  se encuentra el espacio Grupo de Invest. Tecnologías Aplicadas (GITA) en el campus Robledo.
En el bloque M1  en el piso 4  número 404  se encuentra el espacio Grupo de Investigación en Electrónica y de Control en el campus Robledo.
En el bloque M1  en el piso 4  número 405  se encuentra el espacio Laboratorio en el campus Robledo.
En el bloque M1  en el piso 4  número 406  se encuentra el espacio Oficina Profesora - Sandra Liliana Bedoya en el campus Robledo.
En el bloque M1  en el piso 4  número 407  se encuentra el espacio Asociación Escuela de Ingeniería Civil en el campus Robledo.
En el bloque M1  en el piso 4  número 408  se encuentra el espacio Proyecto GTC en el campus Robledo.
En el bloque M1  en el piso 4  número 409  se encuentra el espacio Grupo de Proyectos e Investigaciones Sísmicas en el campus Robledo.
En el bloque M1  en el piso 4  número 410  se encuentra el espacio Oficina Profesor - Luis Alberto Palacio en el campus Robledo.
En el bloque M1  en el piso 4  número 411  se encuentra el espacio Oficina Profesora - Alejandra Bedoya en el campus Robledo.
En el bloque M1  en el piso 4  número 412  se encuentra el espacio Oficina Profesor - Luis Hernán Sánchez en el campus Robledo.
En el bloque M1  en el piso 4  número 416  se encuentra el espacio Oficina Profesor - Guillermo Alzate en el campus Robledo.
En el bloque M8A  en el piso 1  número 101  se encuentra el espacio Cafetería en el campus Robledo.
En el bloque M8A  en el piso 2  número 201  se encuentra el espacio Departamento de Ciencias de la Computación y la Decisión en el campus Robledo.
En el bloque M8A  en el piso 2  número 203  se encuentra el espacio Oficina Profesora - Claudia Jiménez Ramírez en el campus Robledo.
En el bloque M8A  en el piso 2  número 204  se encuentra el espacio Oficina Profesor - Albeiro Espinosa Bedoya en el campus Robledo.
En el bloque M8A  en el piso 2  número 205  se encuentra el espacio Asistencia del Área Curricular en el campus Robledo.
En el bloque M8A  en el piso 2  número 206  se encuentra el espacio Oficina Profesor - Juan David Velásquez Henao en el campus Robledo.
En el bloque M8A  en el piso 2  número 207  se encuentra el espacio Oficina Profesor - Luis Fernando Moreno Velásquez en el campus Robledo.
En el bloque M8A  en el piso 2  número 208  se encuentra el espacio Oficina Profesor - Gabriel Awad Aubad en el campus Robledo.
En el bloque M8A  en el piso 2  número 209  se encuentra el espacio Oficina Profesora - Yris Olaya Morales en el campus Robledo.
En el bloque M8A  en el piso 2  número 210  se encuentra el espacio Oficina Profesor - Carlos Jaime Franco Cardona en el campus Robledo.
En el bloque M8A  en el piso 2  número 211  se encuentra el espacio Oficina Profesor - Santiago Arango Aramburo en el campus Robledo.
En el bloque M8A  en el piso 2  número 212  se encuentra el espacio Oficina Profesor - Javier Díaz Serna en el campus Robledo.
En el bloque M8A  en el piso 2  número 213  se encuentra el espacio Oficina Profesora - Patricia Jaramillo Álvarez en el campus Robledo.
En el bloque M8A  en el piso 2  número 214  se encuentra el espacio Oficina Profesor - William Álvarez Montoya en el campus Robledo.
En el bloque M8A  en el piso 3  número 306  se encuentra el espacio Oficina Profesor - Jaime Alberto Guzmán Luna en el campus Robledo.
En el bloque M8A  en el piso 3  número 307  se encuentra el espacio Oficina Profesor - John Willian Branch Bedoya en el campus Robledo.
En el bloque M8A  en el piso 3  número 308  se encuentra el espacio Oficina Profesor - Demetrio Arturo Ovalle Carranza en el campus Robledo.
En el bloque M8A  en el piso 3  número 309  se encuentra el espacio Oficina Profesor - Jovani Alberto Jiménez Builes en el campus Robledo.
En el bloque M8A  en el piso 3  número 310  se encuentra el espacio Oficina Profesor - Carlos Mario Zapata Jaramillo en el campus Robledo.
En el bloque M8A  en el piso 3  número 311  se encuentra el espacio Oficina Profesor - Julián Moreno Cadavid en el campus Robledo.
En el bloque M8A  en el piso 3  número 312  se encuentra el espacio Oficina Profesor - Francisco Javier Moreno Arboleda en el campus Robledo.
En el bloque M8A  en el piso 3  número 313  se encuentra el espacio Oficina Profesora - Gloria Lucía Giraldo Gómez en el campus Robledo.
En el bloque M8A  en el piso 3  número 314  se encuentra el espacio Oficina Profesor - Gustavo Adolfo Pérez Zapata en el campus Robledo.
En el bloque M8A  en el piso 3  número 315  se encuentra el espacio Oficina Profesor - Fernando Arango Isaza en el campus Robledo.
En el bloque M8A  en el piso 3  número 316  se encuentra el espacio Sala de Reuniones - Oficina Profesores en el campus Robledo.
En el bloque M8A  en el piso 4  número 401A  se encuentra el espacio Sala de Reuniones - Oficina Profesores en el campus Robledo.
En el bloque M8A  en el piso 4  número 402-409  se encuentra el espacio Salas de Estudiantes de Proyectos en el campus Robledo.
En el bloque M8  en el piso 1  número 102  se encuentra el espacio Auditorio “Peter Santamaría” en el campus Robledo.
En el bloque M8  en el piso 1  número Of 1  se encuentra el espacio Oficina Profesor - Pablo Santiago Rivadeneira Paz en el campus Robledo.
En el bloque M8  en el piso 1  número nan  se encuentra el espacio Sala de Proyectos - Grupo Gaunal en el campus Robledo.
En el bloque M8  en el piso 1  número 307  se encuentra el espacio Oficina Profesor - John Edwin Candelo Becerra en el campus Robledo.
En el bloque M8  en el piso 1  número nan  se encuentra el espacio Área Curricular de Ing. Eléctrica e Ing. de Control en el campus Robledo.
En el bloque M8  en el piso 1  número nan  se encuentra el espacio Zona de Estudio Estudiantes de Posgrado en el campus Robledo.
En el bloque M8  en el piso 1  número Of 2  se encuentra el espacio Oficina Profesor - Jairo José Espinosa Oviedo en el campus Robledo.
En el bloque M8  en el piso 1  número Of 9  se encuentra el espacio Departamento de Energía Eléctrica y Automática en el campus Robledo.
En el bloque M8  en el piso 1  número Of 4  se encuentra el espacio Oficina Profesora - Rosa Elvira Correa Gutiérrez en el campus Robledo.
En el bloque M8  en el piso 1  número nan  se encuentra el espacio Sala de Posgrado en el campus Robledo.
