Codigo de asignatura,Nombre de asignatura,Numero de creditos
3008999,fenomenos criticos,3
3007709,geomorfologia,3
3010444,gestion de la calidad del aire,3
3010501,gestion y evaluacion ambiental,3
3007383,hidraulica,3
3007382,hidraulica fluvial,3
3007387,ingenieria de los recursos hidraulicos,3
3007389,ingenieria de puertos y costas,3
3010446,introduccion a la ingenieria ambiental,3
3009714,introduccion a la modelacion ambiental,3
3009718,microbiologia de rehabilitacion de suelos,3
3009001,planificacion integral y ordenamiento del territorio,3
3010685,practica de extension,6
3008998,residuos solidos,3
3009404,suelos y medioambiente,4
3010478,termodinamica general,3
3009230,trabajo de grado,6
3010453,valoracion economica del impacto ambiental,3
3007404,construccion de edificaciones,3
3007499,cursos de posgrado,6
3007408,diseno geometrico de vias,4
3007375,diseno basico de estructuras de acero,3
3007407,diseno estructural avanzado,3
3007405,diseno estructural basico,4
3007410,estabilidad de laderas,3
3007570,ferrocarriles,3
3010460,geologia aplicada,3
3010487,geomatica digital,3
3010655,gerencia y administracion de proyectos civiles,3
3010488,ingenieria de transito,3
3010445,ingenieria geotecnica,4
3009716,introduccion al analisis matricial de estructuras,3
3010448,mecanica basica,3
3007414,mecanica de rocas,3
3010450,mecanica estructural,4
3007393,obras hidraulicas,3
3010682,practica de extension,6
3010659,programacion y presupuestos,3
3007399,puentes,3
3007400,topicos de diseno de vias,3
3010479,topografia,4
3007498,trabajo de grado,6
3010481,analisis de circuitos electricos i,3
3010496,analisis de circuitos electricos ii,3
3010505,automatizacion de procesos,3
3010506,automatizacion integrada,3
3007344,control: analisis en variables de estado,3
3010402,control: entrada-salida,3
3010400,control estructuras siso,3
3007367,cursos de posgrado,6
3010458,electronica analoga i,3
3010457,electronica analoga ii,3
3010483,electronica digital,3
3010406,estimacion de estado,3
3007725,aspectos geomecanicos de la ingenieria de yacimientos,3
3010474,conversion de energia en sistemas termofluidicos,3
3007726,crudos y derivados,3
3007485,cursos de posgrado,6
3010057,depositos organicos en pozos productores,3
3007767,elementos de geologia estructural,3
3008563,evaluacion de formaciones heterogeneas,3
3007428,fluidos de yacimiento,3
3007707,geofisica,3
3009822,introduccion a la ingenieria de petroleos,2
3010465,inyeccion de agua,3
